请介绍一下李白的生平,"李白（701年～762年），字太白，号青莲居士。
701年：李白出生在唐朝的碎叶城。
710年：李白随家迁居绵州昌隆县青莲乡。
725年：李白离开故乡，开始了一次长达18年的漫游生活，足迹遍及半个中国。
726年：李白与友人吴指南同游江汉。
736年：李白与孟浩然第一次相会于湖北安陆，并结为至交。
742年：唐玄宗召李白入宫，任命他为翰林供奉。
744年：李白离开长安，继续漫游生活。
757年：李白因安史之乱被捕入狱。
759年：李白被流放夜郎，中途遇赦放还。
760年：李白在江夏遇到了王昌龄，他们一起游览庐山和采石矶。
761年：李白在宣城与汪伦相识。
762年：李白病逝于当涂。
李白是我国唐代伟大的浪漫主义诗人，被后人称为“诗仙”"
请介绍一下杜甫的生平,"杜甫（712年～770年），字子美，自号少陵野老。
712年：杜甫出生在河南巩县的士族家庭。
736年：杜甫赴长安参加进士考试，落第后寓居长安近十年。
747年：唐玄宗下诏，天下有一艺者皆得赴京应考，杜甫再次参加考试并进士及第。
755年：杜甫被任命为河西节度使判官。不久，安禄山发动叛乱，他逃亡到凤翔，被唐肃宗任命为左补阙。
758年：被贬为华州司功参军。同年，唐肃宗处决了房琯，杜甫上书为房琯辩护，触怒肃宗，被贬为房州刺史。
760年：杜甫流落到成都，在严武的帮助下，任节度参谋、检校工部员外郎等职。
765年：严武去世后，杜甫失去了依靠，再度流落到梓州、阆州等地。
770年：杜甫在潭州往岳阳的一条小船上去世。
杜甫生活在唐朝由盛转衰的历史时期，其诗多涉笔社会动荡、政治黑暗、人民疾苦，他的诗被誉为“诗史”。杜甫忧国忧民，人格高尚，诗艺精湛，被后世尊称为“诗圣”。"
请介绍一下苏轼的生平,"苏轼（1037年～1101年），字子瞻，号东坡居士。
1037年：苏轼出生于眉州眉山（今四川省眉山市）。
1056年：苏轼赴京参加科举考试，以《刑赏忠厚之至论》一文获得主考官欧阳修的赏识。
1069年：苏轼进入仕途，被任命为凤翔府判官。
1071年：因与王安石政见不合，苏轼自请外放，调任杭州通判。
1079年：因“乌台诗案”，苏轼被贬至黄州，任团练副使。
1084年：苏轼离开黄州，赴汝州就任。
1089年：苏轼被召回京，任翰林学士、侍讲。
1093年：因与执政的章惇有隙，苏轼被贬至惠州。
1097年：苏轼被贬至儋州（今海南省），这是他一生中的最后一次被贬。
1100年：宋徽宗即位后，苏轼获赦北归。
1101年：苏轼在北归途中病逝于常州。
苏轼的诗清新豪健，善用夸张比喻，在艺术表现方面独具风格；词开豪放一派，对后代很有影响，故人称“诗神”"
请介绍一下王维的生平,"王维（693年～761年），字摩诘，号摩诘居士。
693年：王维出生于山西祁县。
716年：王维赴长安参加科举考试，并结识了孟浩然。
721年：王维中进士，开始担任官职。
725年：王维赴凉州慰问边疆将士，创作了《使至塞上》。
726年：王维赴江南采风，创作了《送元二使安西》。
730年：王维被任命为殿中侍御史，后因故辞职。
734年：王维再度担任官职，后因故再次辞职。
736年：王维赴洛阳担任太子中舍人，后因故被贬为济州司仓参军。
740年：王维被召回长安，担任殿中侍御史。
745年：王维被任命为吏部郎中，后因故辞职。
748年：王维赴洛阳担任太常卿，后因故被贬为太子中舍人。
749年：王维再度担任太常卿，后因故被贬为太子中舍人。
750年：王维赴长安担任吏部郎中。
755年：安史之乱爆发，王维被迫投降安禄山。
757年：安禄山被杀后，王维被唐肃宗赦免，重回官场。
761年：王维去世于长安。
王维不仅参禅悟理，学庄信道，还精通诗、书、画、音乐等，以诗名盛于开元、天宝年间，尤长五言，多咏山水田园，有“诗佛”之称。"
请介绍一下杜牧的生平,"杜牧（803年～约852年），字牧之，号樊川居士。
803年：杜牧出生于京兆万年（今陕西西安），出身于一个显赫的官僚家庭。
812年：开始学习书法和诗词，展现出过人的才华。
817年：父亲去世，对杜牧产生深远影响，开始关注社会问题和政治动态。
820年：进入长安太学学习，结识了一批志同道合的朋友，共同探讨诗词、书法和政治。
823年：通过科举考试，获得进士资格，但并未立即步入仕途。
827年：被任命为弘文馆校书郎，开始参与编纂工作。
830年：出任宣州团练判官，开始了地方官生涯。
832年：调任黄州刺史，期间勤政爱民，深受当地百姓爱戴。
836年：转任池州刺史，继续推行善政。
839年：因病辞职，回到长安休养。
840年：被任命为司勋员外郎，负责官员考绩工作。
842年：因与上司不合，再次辞官。
844年：被任命为睦州刺史，不久又转任苏州刺史。
约852年：杜牧去世，享年约五十岁。
杜牧文以《阿房宫赋》为最著，诗作明丽隽永，绝句诗尤受人称赞，世称小杜。与李商隐齐名，合称“小李杜”。"
请介绍一下陆游的生平,"陆游（1125年～1210年），字务观，号放翁。
1125年：陆游出生，为越州山阴人。
1140年：陆游参加进士考试，因名列秦桧的孙子之前，受到秦桧的忌恨，复试被除名。
1147年：陆游任福州宁德县主簿。
1158年：陆游改调宁德县县令。
1160年：陆游调任福州决曹。
1162年：陆游调任大理寺司直兼宗正簿。
1163年：陆游上书议论国事，被除名回乡。
1166年：陆游在家居住四年，天天在沈园游玩，并在园中与唐婉相会。
1168年：陆游作《老学庵笔记》。
1170年：陆游在镇江任通判，写下了著名的《南乡子·登京口北固亭有怀》。
1174年：陆游在朝廷得到孝宗召见，并赐进士出身。
1176年：陆游任江西常平提举。
1178年：陆游改任京西路转运副使。
1180年：陆游改任京西路转运判官。
1182年：陆游调任军器少监。
1183年：陆游兼秘书监，在秘阁校理书籍。
1186年：陆游任嘉州通判，开始在蜀中各地旅游，并写下大量诗篇。
1190年：陆游在成都任史馆编撰。
1210年：陆游去世，享年八十五岁。
陆游一生笔耕不辍，诗词文俱有很高成就，其诗语言平易晓畅、章法整饬谨严，兼具李白的雄奇奔放与杜甫的沉郁悲凉，尤以饱含爱国热情对后世影响深远。"
请介绍一下李煜的生平,"李煜（937年～978年），字重光，号钟隐、莲峰居士。
959年：李煜被立为太子。
961年：李璟去世，李煜继位，改元建隆。
964年：开宝元年，宋太祖发动统一江南的战争。
971年：宋太祖灭南汉。
973年：建隆四年，赵匡胤命曹彬伐南唐。
975年：开宝八年，金陵城破，李煜奉表投降，南唐灭亡。
976年：李煜被俘送往京师。
978年：李煜在京师逝世。
李煜精书法，善绘画，通音律，诗和文均有一定造诣，尤以词的成就最高。其词作前期大多描写宫廷享乐生活，后期则追怀故国，感叹身世，写出另一境界。语言清新洗练，感染力强，李煜由此被称为“千古词帝”。"
请介绍一下元稹的生平,"元稹（779年～831年），字微之、威明。
815年：元稹因上疏急论削减官宦、藩镇的权力，为裴度所重视，授左拾遗。他以文学才华受到朝廷的赏识，但因得罪宦官而遭贬谪。
820年：唐宪宗去世后，元稹被召回长安，历任中书舍人、翰林学士、知制诰等职务。他积极参与政治，推动了一系列改革，包括减免百姓负担、加强边防等。
829年：元稹因病辞官，回到洛阳休养。在此期间，他继续创作诗歌，并结识了许多文人墨客，如白居易等。他的诗歌风格和才华受到了广泛的赞誉和传颂。
831年：元稹在洛阳病逝，享年53岁。
元稹的诗歌作品被后人编为《元稹集》，成为中国文学史上的经典之一。他的诗歌以情感细腻、语言优美而著名，被誉为“元稹体”"
请介绍一下韩愈的生平,"韩愈（768年～824年），字退之，自称“郡望昌黎”，世称“韩昌黎”、“昌黎先生”。
768年：韩愈出生。
787年：韩愈赴长安应试。
792年：韩愈进士及第。
799年：韩愈从监察御史降为宣州团练判官。
800年：韩愈回归宣州，为裴度请缨。
803年：韩愈再次入长安任国子监祭酒。
806年：因《论天旱人饥状》获罪，贬为阳山县令。
811年：获赦免，回长安任监察御史。
812年：因《论佛骨表》被贬为潮州刺史。
817年：韩愈任刑部侍郎，因谏迎佛骨，获罪被贬为潮州刺史。
820年：韩愈从潮州迁袁州，即今江西省宜春市袁州区任刺史。
824年：韩愈因病在袁州逝世，享年五十七岁。
韩愈鄙六朝骈体文风，推崇古体散文，其文质朴无华，气势雄健，“文起八代之衰”，“集八代之成”，开古文运动之滥觞。"
请介绍一下岑参的生平,"岑参（715年～769年）。
715年：岑参出生于河南南阳，一个中产阶级的家庭。
733年：岑参开始学习诗文，受到良好的文学教育。
735年：他前往长安，寻求政治和文学上的发展机会。
740年：岑参在长安结识了一些重要的文人，如高适等人，开始参与文学活动。
744年：他前往边疆，开始对边疆生活产生浓厚兴趣。
746年：岑参在边疆地区担任判官，开始接触到军旅生活。
749年：他创作了《白雪歌送武判官归京》，这首诗描绘了边疆雪景和送别的场景，成为他的代表作之一。
751年：岑参被调往西北的敦煌任职。
754年：他在西北创作了《走马川行奉送封大夫出师西征》，描绘了边疆的壮丽风光和战争的壮烈场面。
757年：岑参调回长安，担任过一些官职，但逐渐对政治失去信心。
759年：他前往蜀地，担任过刺史等职务。
760年：在蜀地，他创作了《送友人归蜀》等诗作，表达了对友人的深情和对蜀地风土人情的热爱。
761年：岑参在蜀地度过了几年相对平静的生活。
763年：他返回长安，但不久之后又前往洛阳。
765年：岑参在洛阳病逝，享年54岁。
岑参是唐代著名的边塞诗人之一，以其描绘边疆风光和军旅生活的诗歌而著名。"
